Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,472783,10,0.1,GOLDTEN,GOLDTEN30JAN26,30-JAN-2026,FUTCOM,XX,0,1,
MCX,472784,10,0.1,GOLDTEN,GOLDTEN27FEB26,27-FEB-2026,FUTCOM,XX,0,1,
MCX,477176,10,0.1,GOLDTEN,GOLDTEN31MAR26,31-MAR-2026,FUTCOM,XX,0,1,
MCX,487666,10,0.1,GOLDTEN,GOLDTEN30APR26,30-APR-2026,FUTCOM,XX,0,1,
MCX,488787,10,0.1,GOLDTEN,GOLDTEN29MAY26,29-MAY-2026,FUTCOM,XX,0,1,
MCX,510463,10,0.1,GOLDTEN,GOLDTEN30JUN26,30-JUN-2026,FUTCOM,XX,0,1,
MCX,477182,5,100,COTTONOIL,COTTONOIL30JAN26,30-JAN-2026,FUTCOM,XX,0,0.1,
MCX,487668,5,100,COTTONOIL,COTTONOIL27FEB26,27-FEB-2026,FUTCOM,XX,0,0.1,
MCX,488801,5,100,COTTONOIL,COTTONOIL31MAR26,31-MAR-2026,FUTCOM,XX,0,0.1,
MCX,510484,5,100,COTTONOIL,COTTONOIL30APR26,30-APR-2026,FUTCOM,XX,0,0.1,
MCX,477185,50,1,ELECDMBL,ELECDMBL30JAN26,30-JAN-2026,FUTCOM,XX,0,1,
MCX,487675,50,1,ELECDMBL,ELECDMBL27FEB26,27-FEB-2026,FUTCOM,XX,0,1,
MCX,488803,50,1,ELECDMBL,ELECDMBL30MAR26,30-MAR-2026,FUTCOM,XX,0,1,
MCX,510481,50,1,ELECDMBL,ELECDMBL29APR26,29-APR-2026,FUTCOM,XX,0,1,
MCX,487593,250,1,NATGASMINI,NATGASMINI22JAN26P325,22-JAN-2026,OPTFUT,PE,325,0.05,
MCX,487594,250,1,NATGASMINI,NATGASMINI22JAN26P320,22-JAN-2026,OPTFUT,PE,320,0.05,
MCX,487595,250,1,NATGASMINI,NATGASMINI22JAN26P315,22-JAN-2026,OPTFUT,PE,315,0.05,
MCX,487596,250,1,NATGASMINI,NATGASMINI22JAN26P310,22-JAN-2026,OPTFUT,PE,310,0.05,
MCX,487597,250,1,NATGASMINI,NATGASMINI22JAN26P305,22-JAN-2026,OPTFUT,PE,305,0.05,
MCX,487598,250,1,NATGASMINI,NATGASMINI22JAN26P300,22-JAN-2026,OPTFUT,PE,300,0.05,
MCX,487599,250,1,NATGASMINI,NATGASMINI22JAN26P295,22-JAN-2026,OPTFUT,PE,295,0.05,
MCX,487600,250,1,NATGASMINI,NATGASMINI22JAN26P290,22-JAN-2026,OPTFUT,PE,290,0.05,
MCX,487601,250,1,NATGASMINI,NATGASMINI22JAN26P285,22-JAN-2026,OPTFUT,PE,285,0.05,
MCX,487602,250,1,NATGASMINI,NATGASMINI22JAN26P280,22-JAN-2026,OPTFUT,PE,280,0.05,
MCX,487603,250,1,NATGASMINI,NATGASMINI22JAN26P275,22-JAN-2026,OPTFUT,PE,275,0.05,
MCX,487604,250,1,NATGASMINI,NATGASMINI22JAN26P355,22-JAN-2026,OPTFUT,PE,355,0.05,
MCX,487605,250,1,NATGASMINI,NATGASMINI22JAN26P360,22-JAN-2026,OPTFUT,PE,360,0.05,
MCX,487606,250,1,NATGASMINI,NATGASMINI22JAN26P365,22-JAN-2026,OPTFUT,PE,365,0.05,
MCX,487607,250,1,NATGASMINI,NATGASMINI22JAN26P370,22-JAN-2026,OPTFUT,PE,370,0.05,
MCX,487608,250,1,NATGASMINI,NATGASMINI22JAN26P375,22-JAN-2026,OPTFUT,PE,375,0.05,
MCX,487609,250,1,NATGASMINI,NATGASMINI22JAN26P380,22-JAN-2026,OPTFUT,PE,380,0.05,
MCX,487610,250,1,NATGASMINI,NATGASMINI22JAN26P385,22-JAN-2026,OPTFUT,PE,385,0.05,
MCX,487611,250,1,NATGASMINI,NATGASMINI22JAN26P390,22-JAN-2026,OPTFUT,PE,390,0.05,
MCX,487612,250,1,NATGASMINI,NATGASMINI22JAN26P395,22-JAN-2026,OPTFUT,PE,395,0.05,
MCX,487613,250,1,NATGASMINI,NATGASMINI22JAN26P400,22-JAN-2026,OPTFUT,PE,400,0.05,
MCX,487614,250,1,NATGASMINI,NATGASMINI22JAN26P405,22-JAN-2026,OPTFUT,PE,405,0.05,
MCX,487615,250,1,NATGASMINI,NATGASMINI22JAN26P410,22-JAN-2026,OPTFUT,PE,410,0.05,
MCX,487616,250,1,NATGASMINI,NATGASMINI22JAN26P415,22-JAN-2026,OPTFUT,PE,415,0.05,
MCX,487617,250,1,NATGASMINI,NATGASMINI22JAN26P420,22-JAN-2026,OPTFUT,PE,420,0.05,
MCX,487618,250,1,NATGASMINI,NATGASMINI22JAN26P425,22-JAN-2026,OPTFUT,PE,425,0.05,
MCX,487653,250,1,NATGASMINI,NATGASMINI22JAN26C430,22-JAN-2026,OPTFUT,CE,430,0.05,
MCX,487654,250,1,NATGASMINI,NATGASMINI22JAN26P430,22-JAN-2026,OPTFUT,PE,430,0.05,
MCX,487738,250,1,NATGASMINI,NATGASMINI22JAN26C435,22-JAN-2026,OPTFUT,CE,435,0.05,
MCX,487739,250,1,NATGASMINI,NATGASMINI22JAN26C440,22-JAN-2026,OPTFUT,CE,440,0.05,
MCX,487740,250,1,NATGASMINI,NATGASMINI22JAN26P435,22-JAN-2026,OPTFUT,PE,435,0.05,
MCX,487741,250,1,NATGASMINI,NATGASMINI22JAN26P440,22-JAN-2026,OPTFUT,PE,440,0.05,
MCX,487776,250,1,NATGASMINI,NATGASMINI22JAN26C445,22-JAN-2026,OPTFUT,CE,445,0.05,
MCX,487777,250,1,NATGASMINI,NATGASMINI22JAN26C450,22-JAN-2026,OPTFUT,CE,450,0.05,
MCX,487783,250,1,NATGASMINI,NATGASMINI22JAN26P445,22-JAN-2026,OPTFUT,PE,445,0.05,
MCX,487784,250,1,NATGASMINI,NATGASMINI22JAN26P450,22-JAN-2026,OPTFUT,PE,450,0.05,
MCX,487809,250,1,NATGASMINI,NATGASMINI22JAN26C455,22-JAN-2026,OPTFUT,CE,455,0.05,
MCX,487810,250,1,NATGASMINI,NATGASMINI22JAN26C460,22-JAN-2026,OPTFUT,CE,460,0.05,
MCX,487815,250,1,NATGASMINI,NATGASMINI22JAN26P455,22-JAN-2026,OPTFUT,PE,455,0.05,
MCX,487816,250,1,NATGASMINI,NATGASMINI22JAN26P460,22-JAN-2026,OPTFUT,PE,460,0.05,
MCX,488134,250,1,NATGASMINI,NATGASMINI22JAN26C465,22-JAN-2026,OPTFUT,CE,465,0.05,
MCX,488139,250,1,NATGASMINI,NATGASMINI22JAN26P465,22-JAN-2026,OPTFUT,PE,465,0.05,
MCX,488265,250,1,NATGASMINI,NATGASMINI22JAN26C470,22-JAN-2026,OPTFUT,CE,470,0.05,
MCX,488266,250,1,NATGASMINI,NATGASMINI22JAN26C475,22-JAN-2026,OPTFUT,CE,475,0.05,
MCX,488267,250,1,NATGASMINI,NATGASMINI22JAN26C480,22-JAN-2026,OPTFUT,CE,480,0.05,
